data_ref_safra,seller_id,uf,tot_orders_12m,tot_items_12m,tot_items_dist_12m,receita_12m,recencia,nao_revendeu_next_6m
2018-01-01,0ac4201fda2c68ebc0e47cb9423cf3c9,SP,5,5,3,557.96,41,0
2018-01-01,0ad80de75c811326389cfb1daba7d45e,RJ,5,5,5,1219.5,27,0
2018-01-01,0adac9fbd9a2b63cccaac4f8756c1ca8,SP,64,86,43,9527.389999999989,21,0
2018-01-01,0ade5cc4a305ed7093a23f68ca47519c,PR,1,1,1,79.89,37,0
2018-01-01,0aea4c6ae1505b3228ddf3dd7822ee5b,SP,2,2,2,476.97,48,0
2018-01-01,0afccdb8a34ee5c79f7c06faf2b4d56e,MG,22,22,10,1105.7999999999997,3,0
2018-01-01,0b09101900100c0e9d312861fad5a1b9,SP,1,1,1,153.75,338,1
2018-01-01,0b18d63d0cd1d723567903fd34a07df2,SP,6,9,6,1086.46,122,0
2018-01-01,0b35c634521043bf4b47e21547b99ab5,PR,3,5,5,1571.9,5,0
2018-01-01,0b36063d5818f81ccb94b54adfaebbf5,SC,1,15,1,765.0,335,1
2018-01-01,0b3f27369a4d8df98f7eb91077e438ac,SP,2,2,2,146.51,39,1
2018-01-01,0b46f784306be7200ca1700aa55d819f,MG,1,1,1,19.9,287,1
2018-01-01,0b90b6df587eb83608a64ea8b390cf07,PR,12,16,10,3676.5399999999995,9,0
2018-01-01,0bae85eb84b9fb3bd773911e89288d54,SP,78,85,34,4484.149999999996,0,0
2018-01-01,0bb27263628258b8111a0262769fa9db,SP,1,1,1,22.2,274,1
2018-01-01,0bb738e4d789e63e2267697c42d35a2d,SP,15,16,4,1052.4999999999998,4,0
2018-01-01,0be8ff43f22e456b4e0371b2245e4d01,SP,59,70,48,4027.2000000000044,2,0
2018-01-01,0bf0150d5b9d60d9cd2906003332f085,SP,29,46,12,4037.700000000002,4,0
2018-01-01,0bfd0b434243adc5c2e1aa6baf19c6aa,RJ,5,5,5,286.3,18,0
2018-01-01,0c7533c71df861ec58ad7ff999ed0e8d,SP,30,35,18,1305.4000000000003,10,0
2018-01-01,0c7f30ae9b147eca07affbef92832a6a,PR,5,5,4,479.5,258,1
2018-01-01,0c8380b62e38e8a1e6adbeba7eb9688c,MG,149,181,68,14740.499999999965,32,0
2018-01-01,0cbcee27c791afa0cdcb08587a2013a8,MG,16,17,8,2323.0,18,0
2018-01-01,0d33a55da925bbf1ff02af5f6059fc7f,SP,3,3,1,32.7,34,0
2018-01-01,0d4c8269e7f0401201794deef160edd6,SP,3,4,4,792.64,54,1
2018-01-01,0d83f8e03188682112cc0d93523705cc,RS,2,3,2,251.76,14,0
2018-01-01,0d85bbda9889ce1f7e63778d24f346eb,MG,45,47,15,3652.300000000003,37,0
2018-01-01,0db783cfcd3b73998abc6e10e59a102f,SP,98,101,12,7209.5999999999985,2,0
2018-01-01,0dd184061fb0eaa7ca37932c68ab91c5,SP,2,2,2,199.0,18,0
2018-01-01,0df3984f9dfb3d49ac6366acbd3bbb85,MG,38,38,17,5046.499999999999,20,0
2018-01-01,0e44d110fa6a54e121cb2c095a77762f,SP,5,5,5,189.24,17,0
2018-01-01,0e982cff76cc0579f632cea8a0e38c9d,SC,1,1,1,320.0,95,0
2018-01-01,0ea22c1cfbdc755f86b9b54b39c16043,MG,170,197,119,8078.899999999971,0,0
2018-01-01,0eaa7e33d73809f1f925f7d07c506cbd,SP,11,11,10,1228.0,28,0
2018-01-01,0ebd97a106433a45a4aebe57c1799778,MG,17,17,7,1818.3000000000004,3,0
2018-01-01,0ed6ce5d87fd9c69eaacaeb778d67235,SP,8,8,5,600.1999999999999,1,0
2018-01-01,0ee4fb99ac55ffbbc98795aa01b7f8fa,SP,1,1,1,59.9,244,1
2018-01-01,0ef83d7d83ed97cd2a0049ac8be5f88a,PR,10,12,3,939.5499999999998,13,0
2018-01-01,0f519b0d2e5eb2227c93dd25038bfc01,SP,1,1,1,79.9,338,1
2018-01-01,0f94588695d71662beec8d883ffacf09,SC,1,1,1,9.0,305,1
2018-01-01,0ff83046c3fa22efee8ecf291888b191,RS,7,8,5,559.1999999999999,21,0
2018-01-01,10076e5788b8ee532724bcd460baf762,SP,9,9,5,285.2,29,0
2018-01-01,10089e9f2fd0c668a8fd4e52e1698888,SP,3,3,3,1139.9,47,1
2018-01-01,1025f0e2d44d7041d6cf58b6550e0bfa,SP,233,407,56,33234.850000000115,1,0
2018-01-01,1099a00e0ee3a50935e6c2447ca090c5,RJ,2,2,2,599.8,22,0
2018-01-01,10ff823eda2b032e2c93d17a7d294736,SP,4,4,3,636.28,27,0
2018-01-01,1127b7f2594683f2510f1c2c834a486b,SP,79,89,52,4368.480000000002,8,0
2018-01-01,11305281b50fff20ae8bb473f8e11876,MG,18,21,15,4103.89,27,0
2018-01-01,113e3a788b935f48aad63e1c41dac1bd,SP,17,22,14,371.34999999999997,0,0
2018-01-01,116ccb1a1604bc88e4d234a8c23f33de,SP,17,23,12,466.50999999999993,12,0
2018-01-01,119c7f1a00ef43fad0e57604e76a747c,SP,1,1,1,149.9,77,0
2018-01-01,119d1aef1b4144adba89163f6cd9f5d4,SP,4,4,3,1094.0,44,1
2018-01-01,11bfa66332777660bd0640ee84d47006,SP,23,30,17,1300.2699999999998,3,0
2018-01-01,11d4c477d09821164bca4f70a2eae031,SP,3,4,2,83.03999999999999,125,1
2018-01-01,11eac105f3f90a9b87b19c89d91e24f3,SP,5,5,4,802.89,172,1
2018-01-01,1284de4ae8aa26997e748c851557cf0e,SP,3,3,3,1459.97,72,1
2018-01-01,128639473a139ac0f3e5f5ade55873a5,PR,227,238,52,4847.8499999999985,0,0
2018-01-01,128f9bfbe4c7d5185033914b1de3d39a,SP,7,7,4,859.0,12,0
2018-01-01,12a8eb0f8d1cd3270695bf2a99f55966,SP,2,2,2,397.0,18,1
2018-01-01,12b9676b00f60f3b700e83af21824c0e,RS,93,93,28,18305.0,1,0
2018-01-01,12c2ed9cded6138cf0c75f525f565fc7,SP,3,3,3,214.97,20,1
2018-01-01,13074f016982ff2bd6c58ced8682f000,RS,7,8,3,1123.0,27,0
2018-01-01,1336efc61c316ddf92c899eb817f7cae,SP,46,54,38,2583.4700000000003,36,0
2018-01-01,134a288e7de827ec5ec62e3ec9c3a295,SP,9,9,7,877.45,103,1
2018-01-01,1352e06ae67b410cdae0b2a22361167b,RJ,2,2,1,178.0,268,1
2018-01-01,1354d51653f645349064725ed204e85e,SP,8,8,8,950.0,7,0
2018-01-01,139157dd4daa45c25b0807ffff348363,SP,1,1,1,29.9,122,1
2018-01-01,13d058e4eeac2ce8217660b2f8a05812,SP,15,15,3,2589.8499999999995,17,0
2018-01-01,13f57c12a00ed4610db646b913a7f5c6,SP,4,9,3,370.4,18,0
2018-01-01,13fa2a6c6b9d0f43cb588d7c82117a12,SP,9,10,4,4528.0,93,1
2018-01-01,1430239a858e7682bbc43b20758af153,SP,7,10,8,296.48999999999995,21,0
2018-01-01,1464afc72f696af775557a821c2e253f,RJ,16,17,8,547.6599999999999,19,0
2018-01-01,14d7985702e72162bbf13b6beb74ab2b,SP,18,18,12,2007.0,3,0
2018-01-01,14ee35374a7876217954b5fa08e50463,SP,4,4,2,511.0,17,0
2018-01-01,152ee17e4c8aaf53dac99f3462e4999b,SC,6,6,3,308.96000000000004,78,1
2018-01-01,1554a68530182680ad5c8b042c3ab563,MG,156,171,42,16216.58999999997,8,0
2018-01-01,157c3e4b42f81ac4a44e8b1ca2fe9876,SP,4,7,4,541.5,34,0
2018-01-01,1588ac4010787100dddef64568f0ae35,PR,1,1,1,199.99,9,0
2018-01-01,15aac934c58d886785ac1b17953ea898,ES,11,11,9,1672.0,2,0
2018-01-01,15b3b1b81484422eb41df68ac87f1f50,SP,1,1,1,43.35,36,1
2018-01-01,15cd6eefe58588619aaed41dfa6621b1,MG,7,9,5,522.0999999999999,124,0
2018-01-01,16090f2ca825584b5a147ab24aa30c86,SP,78,78,9,11045.279999999997,12,0
2018-01-01,160e4f13fd3a64b1b86807be88b5ffb0,PR,1,1,1,349.0,46,0
2018-01-01,165fc07beebdcb6190fba8a06db2a449,PR,33,43,15,11792.1,16,0
2018-01-01,1660ad786c27fd935378b6192a90b417,SP,6,6,6,740.0,61,0
2018-01-01,166e8f1381e09651983c38b1f6f91c11,SC,2,2,1,78.8,132,1
2018-01-01,167fd940acebc789debd6eb418c46e38,SP,2,2,2,327.88,10,0
2018-01-01,17306570e772e7718c92a562d33f5f1d,SP,19,22,14,6533.799999999998,13,0
2018-01-01,1746c1ae87ac63d530c7c943d0ac42e2,SP,1,1,1,229.9,19,1
2018-01-01,1771297ac436903d1dd6b0e9279aa505,SP,24,31,8,2687.72,67,0
2018-01-01,1782ce2db72c3dda627d5e7c898104e1,SP,6,7,6,1362.8,12,0
2018-01-01,17908cf9b444ee34047cadd5c0f4a516,GO,3,3,3,594.99,62,0
2018-01-01,17998cf586426bf0f2c3726cb0a4b211,MG,1,1,1,19.9,156,0
2018-01-01,17a053fcb14bd219540cbde0df490be0,SP,34,43,28,11125.259999999991,1,0
2018-01-01,17ca9b9e9b9ef8fdb529001b49ebb50f,MG,39,46,18,3187.6199999999967,0,0
2018-01-01,17e34d8224d27a541263c4c64b11a56b,SP,162,169,79,32711.81,12,0
2018-01-01,17eea220a40cc0d2c0c5346379682398,SP,3,3,2,875.98,92,1
2018-01-01,17f51e7198701186712e53a39c564617,SP,40,44,22,34760.0,16,0
2018-01-01,180c3376aff0e43dd5788709df48a843,SP,4,9,3,3133.0,79,0
2018-01-01,1835b56ce799e6a4dc4eddc053f04066,SP,134,173,65,9339.089999999976,1,0
2018-01-01,1838dd9b8977065acf51d95e0053ea7a,MG,19,19,9,877.0999999999997,9,0
2018-01-01,184a67a8f9f63234d3a92340bbdb727f,SC,6,7,5,179.18,53,1
2018-01-01,18a349e75d307f4b4cc646a691ed4216,SP,14,15,9,878.05,13,0
2018-01-01,1900267e848ceeba8fa32d80c1a5f5a8,SP,142,192,80,9462.509999999975,1,0
2018-01-01,191d55f7edb8524d525ed01b20fe32e8,DF,2,2,2,498.0,25,0
2018-01-01,1976a05ecf2996d6ffb7b5430e635fe7,SP,8,9,4,1796.1999999999998,108,1
2018-01-01,1987cd4be10fe09ee50454f9c354d1c6,MG,11,11,7,2277.7000000000003,5,0
2018-01-01,198c7ea11960a9844b544d9bcdca860c,MG,25,25,4,1733.7500000000002,131,1
2018-01-01,19a7c9f66ffa6452ff4b4c0cca71da27,PR,1,1,1,279.0,92,1
2018-01-01,19e0f40a907ec568c34bfac15de4f4a1,SP,4,4,1,178.0,74,1
2018-01-01,1a3df491d1c4f1589fc2b934ada68bf2,SC,112,117,4,15523.999999999973,3,0
2018-01-01,1acde099eb406aa220b1169b188b42da,SP,9,10,9,311.1,53,1
2018-01-01,1b0b0f4f95e962d6f32fe90c759d0479,SP,1,1,1,69.9,30,1
2018-01-01,1b1ae47a313a825a7ccceb8e2e30fa9d,PR,7,7,3,1119.3,29,0
2018-01-01,1b4c3a6f53068f0b6944d2d005c9fc89,SC,70,74,21,9630.989999999989,2,0
2018-01-01,1b61fb1f0f2185d89e9a126c498e9cc7,PR,1,1,1,49.7,191,1
2018-01-01,1b7e5006cb25dd23ce8686691013b121,SP,3,3,3,298.98,5,0
2018-01-01,1b8356dabde1d35e17cef975c3f82730,SP,55,60,14,3366.399999999995,47,1
2018-01-01,1b8b75e227c9a9c100d0c210fb6176ce,SP,15,15,11,1444.8700000000001,31,1
2018-01-01,1b938a7ec6ac5061a66a3766e0e75f90,SP,15,17,4,1041.2999999999997,17,0
2018-01-01,1bb2bdb95f4841f1bba2c0d2cd83d3c9,SP,18,18,9,1601.87,9,0
2018-01-01,1bb3812d5f0747a3ab7348f199001a10,SP,3,3,3,370.70000000000005,2,0
2018-01-01,1bc2e21de46adfea6b98cc96b00f3b40,SC,3,5,2,1039.95,227,1
2018-01-01,1c129092bf23f28a5930387c980c0dfc,SP,86,95,7,4110.120000000004,1,0
2018-01-01,1c5e4e49b9079480255b49d50aac1aa9,SP,8,8,5,7093.01,25,0
2018-01-01,1c68394e931a64f90ea236c5ea590300,PR,47,59,23,9855.239999999998,10,0
2018-01-01,1c83418358f249c9d6affa52d579db0e,SP,1,1,1,24.9,246,1
2018-01-01,1ca7077d890b907f89be8c954a02686a,SP,50,55,9,5440.959999999999,0,0
2018-01-01,1caf283236cd69af44cbc09a0a1e7d32,RJ,21,23,14,525.5400000000001,29,0
2018-01-01,1ce3ae5a399804d1a87e706f8a813c3e,SC,14,16,10,903.3999999999997,18,0
2018-01-01,1d0997ff06b524ce9289ffd75114ecd3,PE,3,3,3,3747.0,37,1
2018-01-01,1d139e3a3b14025640d8df1b230aace0,SP,2,2,2,36.49,42,1
2018-01-01,1d2732ef8321502ee8488e8bed1ab8cd,RJ,2,2,2,827.0,223,0
2018-01-01,1d29dfba02015238dfbe2449a5eaa361,MG,5,5,3,247.5,4,0
2018-01-01,1d4587203296c8f4ad134dc286fa6db0,SP,3,3,3,193.70000000000002,9,0
2018-01-01,1d8dbc4f32378d715c717c1c1fc57bae,PR,58,63,23,7391.399999999996,6,0
2018-01-01,1da366cade6d8276e7d8beea7af5d4bf,MG,42,48,14,6348.589999999998,10,1
2018-01-01,1da3aeb70d7989d1e6d9b0e887f97c23,SP,120,155,82,4672.589999999984,5,0
2018-01-01,1dcfa3835714681d4ba4a93bc1e0fd41,SP,12,14,4,1186.6,17,1
2018-01-01,1dd33b8119b3cb1056ed5dc88cd0aaf4,SP,5,5,2,916.0,3,0
2018-01-01,1dfe5347016252a7884b694d4f10f5c4,SP,15,18,12,1145.4,15,0
2018-01-01,1e47d8b6546eb3a77b1acddcc9406242,SP,1,1,1,149.9,230,1
2018-01-01,1e47defeeadeca0e9a18fa5a9311e735,SP,3,3,3,234.12,165,1
2018-01-01,1e483cc5c76fef08d3ca05f9a8af7d01,SP,9,10,3,166.09,227,1
2018-01-01,1e8b33f18b4f7598d87f5cbee2282cc2,SP,8,8,6,787.4,7,0
2018-01-01,1eade46fba20122dc4aefb379f8c636b,SP,16,25,5,926.3000000000002,2,0
2018-01-01,1f1bb1f0859883505541bdd6606193e5,SP,15,16,12,7801.8899999999985,13,0
2018-01-01,1f50f920176fa81dab994f9023523100,SP,778,1064,6,60781.79000000071,0,0
2018-01-01,1f7fd2a6fcd5a6fa5d8a4dabc72aaae0,RS,2,2,1,316.8,140,0
2018-01-01,1f867308a0ce13133a4e639ff4de0c02,PR,2,5,2,268.62,29,0
2018-01-01,1f9ab4708f3056ede07124aad39a2554,SP,29,29,5,5167.729999999999,18,0
2018-01-01,1fdc574883ef3b33ad41562d93f3a74a,SP,4,4,4,1010.0,4,0
2018-01-01,1fe61aa5494bd3ae92a2c13e067c810f,SC,1,2,1,537.76,34,1
2018-01-01,2009a095de2a2a41626f6c6d7722678d,SP,8,12,4,388.88999999999993,61,1
2018-01-01,2059c39f76271d4ca3f15b5ffaccc8b8,PR,12,12,2,604.8999999999999,115,1
2018-01-01,2063dd1b9f568df1c16741ea7d3e6adb,PR,3,3,3,763.0999999999999,46,1
2018-01-01,2089a6d640999f9b9141ac719b2af596,SP,21,21,14,5189.919999999999,17,0
2018-01-01,20b54c376b794ed028df09a3cd88e8dc,SP,2,2,1,339.52,101,0
2018-01-01,20cb7c2fde3e5bf10f0bbe7394e1c6a9,PR,23,38,2,642.1999999999996,3,0
2018-01-01,20d53aad4fe5ee93a64f8839609d3586,MG,1,1,1,14.5,35,1
2018-01-01,20d83f3ef0e6925fd74bfd59170babf7,SP,24,32,30,1675.8000000000009,9,0
2018-01-01,20f0aeea30bc3b8c4420be8ced4226c0,SP,1,1,1,14.9,329,1
2018-01-01,2138ccb85b11a4ec1e37afbd1c8eda1f,SP,293,318,117,8853.319999999945,2,0
2018-01-01,213b25e6f54661939f11710a6fddb871,SP,6,11,5,422.25,15,0
2018-01-01,2156f2671501a81034d7d07f217609d0,SP,9,9,6,717.7,25,0
2018-01-01,217f005bb37ff3aeef5b2ae1788e75ba,SP,2,2,1,49.98,235,1
2018-01-01,218d46b86c1881d022bce9c68a7d4b15,SP,188,208,92,28616.020000000004,5,0
2018-01-01,218f991754f360af9c2daa5e0b8e990c,SP,2,2,1,439.8,11,0
2018-01-01,2199e7fe213c16213bf5d6a7eadc9a5d,SP,15,19,11,2512.79,5,0
2018-01-01,21e83881401b92b49fb09a16d3852291,MG,9,10,8,2539.1800000000003,12,0
2018-01-01,2235cf78d3e2073a88146a9cb60f0dd0,SP,1,1,1,178.99,30,1
2018-01-01,229c3efbfb0ea2058de4ccdfbc3d784a,MG,91,111,20,11269.0,2,0
2018-01-01,22a23e5ac7061fc538cc2a019afaaf16,MG,1,1,1,95.0,227,1
2018-01-01,232a6014e7b10cba61c6c2b2ea6bb4b0,SP,15,17,12,1892.4000000000005,26,0
2018-01-01,23613d49c3ac2bd302259e55c06c050c,SP,35,38,19,2411.2000000000016,14,0
2018-01-01,236585a4ddb5fea9fa40233e2249ed91,RS,7,7,2,389.65999999999997,18,0
2018-01-01,238fac594e170b59c6d228f5a4f4f1d9,SP,8,8,4,776.0,16,0
2018-01-01,23ca5f678e0b3ea6c630b30fa8bf51ea,SP,6,7,4,183.0,241,1
2018-01-01,23d7c96d4a1160db1c726b248601b25a,SP,20,22,14,4247.240000000002,8,0
2018-01-01,23ff42c4bf1f8f16cddb19d8b972974a,MG,2,3,2,174.70000000000002,44,1
2018-01-01,244b04680fdbded0acf5aebd9c92b44a,SP,2,2,2,1701.8000000000002,17,1
2018-01-01,244c2f1bff6afe1f2eaf9bfe9b2aed38,SP,20,24,11,2283.0,4,0
2018-01-01,2493dc3f20131696a0ecdb9948051a8d,DF,4,4,3,504.38,327,1
2018-01-01,24c1de8d9551c0b4fbc53317d53efda8,PB,1,1,1,355.0,331,1
2018-01-01,2528513dd95219a6013d4d05176e391a,SP,66,68,45,18453.699999999997,3,0
2018-01-01,2528744c5ef5d955adc318720a94d2e7,SP,2,2,2,4598.0,9,0
2018-01-01,252e76235acb79183cfca6e34f13337d,SP,2,3,3,204.0,172,0
2018-01-01,253c025bab43881055aeecde5e2d8b77,PR,1,1,1,49.9,38,1
2018-01-01,259f7b5e6e482c230e5bfaa670b6bb8f,SP,60,77,20,3580.0400000000022,4,0
2018-01-01,25c5c91f63607446a97b143d2d535d31,MG,124,218,17,44476.030000000064,3,0
2018-01-01,25cf099de44674fde97473224f9d59ab,SP,20,20,15,736.9799999999999,8,0
2018-01-01,25debeafbce801fdd479539350185eee,SP,4,5,2,172.86,30,0
2018-01-01,25e47381a6c510ddeb36084e33b89f0c,SP,16,17,11,1289.6000000000001,185,1
2018-01-01,25e6ffe976bd75618accfe16cefcbd0d,SP,80,89,43,9611.07,0,0
2018-01-01,262237171f48e85819065498cac80d7b,SC,1,5,1,299.5,149,0
2018-01-01,26785a546900236d66f2e4197c211158,SP,4,4,3,339.70000000000005,8,0
2018-01-01,26bad72add1f86e08a776ce4ffdaf1ca,SP,2,2,2,81.0,54,0
2018-01-01,26d8a1c7c75d513045798992ead43aa2,PR,13,13,8,1887.8700000000001,14,0
2018-01-01,270297ead4c65a6cd2593960d2af6b21,SP,5,6,6,2505.8599999999997,37,0
2018-01-01,2709af9587499e95e803a6498a5a56e9,SP,20,40,14,1006.5800000000008,34,0
2018-01-01,270d3ef21830ad0ecf3a6c53d08a533a,SP,1,2,1,76.0,25,0
2018-01-01,272f092de69afedd4d2969440b37f18f,SP,25,39,24,1846.3300000000008,77,1
2018-01-01,2745f798279e0ed033addcc1474776d7,SP,17,17,9,2181.3199999999997,3,0
2018-01-01,27a56ff04b34c2ba34ce6ba4d3b9d616,SP,8,8,7,349.28999999999996,79,1
2018-01-01,282c7480173bb9c01dd41cc739fec010,SP,5,8,4,4274.2,132,1
2018-01-01,282f23a9769b2690c5dda22e316f9941,MG,35,40,19,2382.0,0,0
2018-01-01,28d162ab86bb49d719c32f0ee6186eaa,SP,1,1,1,109.99,103,1
2018-01-01,28ea411b354f14b1a494be4e79f0ce02,SP,5,5,5,685.0,11,0
2018-01-01,28fb0829fd777877cdc350d25cb5bd5b,SP,2,2,2,279.8,39,1
2018-01-01,293dee954235e4e4e43f129313625ebe,DF,2,2,2,188.98000000000002,19,0
2018-01-01,2953ce3a88f5e3c3b696d77fc9e4c8eb,SP,1,1,1,35.0,91,0
2018-01-01,29fe9f200d3fa0c668d2aa1ec7e08dfb,SC,5,5,4,400.0,119,1
